Species,Code,Depth,Period,Days,Biomass,change,mass,mass_change
Laminaria hyperborea,LH_2,0m,T6,56,13.74,0.43,101.7777778,1.777777778
Laminaria hyperborea,LH_3,0m,T6,56,14.68,0.35,100.9628611,0.962861073
Laminaria hyperborea,LH_4,0m,T6,56,12.61,0.33,102.1880065,2.188006483
Laminaria hyperborea,LH_5,0m,T6,56,14.58,0.35,98.3805668,-1.619433198
Laminaria hyperborea,LH_1,15m,T6,56,0,,0,-100
Laminaria hyperborea,LH_2,15m,T6,56,16.6,0.48,100.973236,0.97323601
Laminaria hyperborea,LH_3,15m,T6,56,20.35,0.77,102.5705645,2.570564516
Laminaria hyperborea,LH_4,15m,T6,56,0,-1.31,0,-100
Laminaria hyperborea,LH_5,15m,T6,56,12.22,0.13,94.29012346,-5.709876543
Laminaria hyperborea,LH_1,30m,T6,56,0,,0,-100
Laminaria hyperborea,LH_2,30m,T6,56,0,-2.42,0,-100
Laminaria hyperborea,LH_3,30m,T6,56,8.69,-1.19,83.88030888,-16.11969112
Laminaria hyperborea,LH_4,30m,T6,56,0,,0,-100
Laminaria hyperborea,LH_5,30m,T6,56,0,,0,-100
Laminaria ochroleuca,LO_1,0m,T6,56,14.4,-0.1,98.63013699,-1.369863014
Laminaria ochroleuca,LO_2,0m,T6,56,13.09,0.03,106.7699837,6.769983687
Laminaria ochroleuca,LO_3,0m,T6,56,14.4,-0.2,105.5718475,5.571847507
Laminaria ochroleuca,LO_4,0m,T6,56,14.46,1.1,119.7019868,19.70198675
Laminaria ochroleuca,LO_5,0m,T6,56,10.63,0.38,98.70009285,-1.299907149
Laminaria ochroleuca,LO_1,15m,T6,56,7.67,-0.39,78.66666667,-21.33333333
Laminaria ochroleuca,LO_2,15m,T6,56,12.29,0.55,99.43365696,-0.566343042
Laminaria ochroleuca,LO_3,15m,T6,56,16.35,0.79,107.992074,7.992073976
Laminaria ochroleuca,LO_4,15m,T6,56,14.31,0.68,109.7392638,9.739263804
Laminaria ochroleuca,LO_5,15m,T6,56,10.79,0.94,103.8498556,3.84985563
Laminaria ochroleuca,LO_1,30m,T6,56,0,-11.63,0,-100
Laminaria ochroleuca,LO_2,30m,T6,56,0,-8.51,0,-100
Laminaria ochroleuca,LO_3,30m,T6,56,12.28,-0.53,89.56965718,-10.43034282
Laminaria ochroleuca,LO_4,30m,T6,56,11.37,0.11,98.69791667,-1.302083333
Laminaria ochroleuca,LO_5,30m,T6,56,0,,0,-100
Laminaria hyperborea,LH_1,0m,End,108,20.43,-1.76,93.41563786,-6.58436214
Laminaria hyperborea,LH_2,0m,End,108,13.75,0.01,101.8518519,1.851851852
Laminaria hyperborea,LH_3,0m,End,108,14.14,-0.54,97.24896836,-2.751031637
Laminaria hyperborea,LH_4,0m,End,108,11.45,-1.16,92.78768233,-7.212317666
Laminaria hyperborea,LH_5,0m,End,108,14.93,0.35,100.7422402,0.742240216
Laminaria hyperborea,LH_1,15m,End,108,0,,0,-100
Laminaria hyperborea,LH_2,15m,End,108,16.68,0.08,101.459854,1.459854015
Laminaria hyperborea,LH_3,15m,End,108,20.49,0.14,103.2762097,3.276209677
Laminaria hyperborea,LH_4,15m,End,108,0,,0,-100
Laminaria hyperborea,LH_5,15m,End,108,12.42,0.2,95.83333333,-4.166666667
Laminaria hyperborea,LH_1,30m,End,108,0,,0,-100
Laminaria hyperborea,LH_2,30m,End,108,0,,0,-100
Laminaria hyperborea,LH_3,30m,End,108,0,-8.69,0,-100
Laminaria hyperborea,LH_4,30m,End,108,0,,0,-100
Laminaria hyperborea,LH_5,30m,End,108,0,,0,-100
